date,year,month,aluminum_usd_ton,copper_usd_ton,iron_ore_usd_ton,raw_material_index,source
2022-01-01,2022,1,3005.98,9782.34,133.05,100.0,FRED live
2022-02-01,2022,2,3245.79,9943.17,139.7,105.33,FRED live
2022-03-01,2022,3,3498.37,10230.89,147.35,111.43,FRED live
2022-04-01,2022,4,3246.99,10174.35,146.67,107.37,FRED live
2022-05-01,2022,5,2839.51,9395.03,131.09,95.95,FRED live
2022-06-01,2022,6,2575.67,9067.55,131.05,90.99,FRED live
2022-07-01,2022,7,2408.42,7544.81,109.05,79.68,FRED live
2022-08-01,2022,8,2433.92,7990.81,109.07,81.44,FRED live
2022-09-01,2022,9,2224.76,7746.01,100.84,76.01,FRED live
2022-10-01,2022,10,2255.54,7651.08,94.62,75.01,FRED live
2022-11-01,2022,11,2350.72,8049.86,94.57,77.65,FRED live
2022-12-01,2022,12,2398.21,8371.09,111.41,82.51,FRED live
2023-01-01,2023,1,2494.9,9007.35,122.43,87.98,FRED live
2023-02-01,2023,2,2416.18,8936.59,127.08,87.46,FRED live
2023-03-01,2023,3,2296.42,8856.31,127.98,85.59,FRED live
2023-04-01,2023,4,2338.13,8809.16,117.12,84.03,FRED live
2023-05-01,2023,5,2274.01,8243.16,104.52,78.96,FRED live
2023-06-01,2023,6,2184.75,8396.52,113.09,79.71,FRED live
2023-07-01,2023,7,2159.73,8476.68,113.98,79.74,FRED live
2023-08-01,2023,8,2135.58,8347.83,109.61,78.17,FRED live
2023-09-01,2023,9,2184.67,8276.71,120.43,80.72,FRED live
2023-10-01,2023,10,2194.39,7941.36,118.75,79.52,FRED live
2023-11-01,2023,11,2202.26,8189.59,131.25,82.75,FRED live
2023-12-01,2023,12,2192.01,8407.9,137.55,84.45,FRED live
2024-01-01,2024,1,2201.57,8351.34,136.59,84.23,FRED live
2024-02-01,2024,2,2179.46,8304.95,125.93,81.76,FRED live
2024-03-01,2024,3,2229.44,8692.82,110.19,80.74,FRED live
2024-04-01,2024,4,2499.23,9445.59,112.23,87.47,FRED live
2024-05-01,2024,5,2566.32,10117.16,119.24,91.85,FRED live
2024-06-01,2024,6,2497.61,9648.17,108.1,87.29,FRED live
2024-07-01,2024,7,2349.13,9385.31,107.39,84.13,FRED live
2024-08-01,2024,8,2352.47,8981.12,100.91,81.72,FRED live
2024-09-01,2024,9,2457.48,9259.13,96.24,83.27,FRED live
2024-10-01,2024,10,2595.58,9533.99,106.61,88.13,FRED live
2024-11-01,2024,11,2582.19,9075.73,103.98,86.03,FRED live
2024-12-01,2024,12,2540.88,8909.91,105.34,85.16,FRED live
